"Unknown template type","Unknown template type"
"New Order Confirmation Email Attachments","New Order Confirmation Email Attachments"
"First attachment","First attachment"
"Only pdf, doc, docx, odt files format is allowed.","Only pdf, doc, docx, odt files format is allowed."
"Second attachment","Second attachment"
"Third attachment","Third attachment"
